Event,Label,Mean,Std,Skewness,Kurtosis,RMS,Peak,Energy,Zero_Cross,Dominant_Freq,SpectralCentroid,SpectralEntropy,Back_Azimuth,Slowness,Beam_Power,N_Trace,N_Station,Source_Files
20230910_123610-123810,Multiphase,2.988485014273951e-11,2.5941917883932592e-05,0.002797549727314006,9.269173784843948,2.5941917883978237e-05,0.00015432221854916832,8.163203805811833e-06,282.8,1.0165819515040413,1.0930211985331297,5.156878600734883,356.0,1.3099999999999998,0.7725506284016385,5,5,20230910_123610-123810_R0279.mseed;20230910_123610-123810_R265F.mseed;20230910_123610-123810_R6940.mseed;20230910_123610-123810_R7D17.mseed;20230910_123610-123810_RE5DE.mseed
20230903_045040-045240,Multiphase,4.683646918340932e-11,3.594005525493692e-06,-0.008998261245957446,4.321359657763522,3.594005526300836e-06,2.093371343304513e-05,1.556458957663256e-07,292.0,1.139905007916007,1.1943768164572544,6.193954787699818,4.0,1.3099999999999998,0.6702864089724786,5,5,20230903_045040-045240_R0279.mseed;20230903_045040-045240_R265F.mseed;20230903_045040-045240_R6940.mseed;20230903_045040-045240_R7D17.mseed;20230903_045040-045240_RE5DE.mseed
20230903_010240-010440,Multiphase,-2.957743948326675e-11,2.8997494990749087e-06,-0.02181660093278604,5.97886850292164,2.899749499994558e-06,1.9708302320646797e-05,1.0108512156569946e-07,292.6,1.006582784767936,1.1880196405282066,6.25113017953615,32.0,1.2099999999999997,0.7295444996408016,5,5,20230903_010240-010440_R0279.mseed;20230903_010240-010440_R265F.mseed;20230903_010240-010440_R6940.mseed;20230903_010240-010440_R7D17.mseed;20230903_010240-010440_RE5DE.mseed
20230824_190420-190620,Multiphase,3.2547101711987945e-11,3.3827827547997693e-06,0.00684206136286733,2.1070852198106875,3.3827827552662676e-06,1.5035162302425227e-05,1.3744502130463958e-07,269.2,1.0249145904507957,1.1288928639762792,5.975976014937459,352.0,1.0699999999999998,0.5797723529309993,5,5,20230824_190420-190620_R0279.mseed;20230824_190420-190620_R265F.mseed;20230824_190420-190620_R6940.mseed;20230824_190420-190620_R7D17.mseed;20230824_190420-190620_RE5DE.mseed
20230830_030540-030740,Multiphase,5.635943935934033e-11,1.0410185695456123e-05,0.003100569013460843,6.934196352294248,1.0410185695833681e-05,5.8617272078892576e-05,1.314891020652585e-06,296.6,1.0132488959253396,1.1225643845091369,5.800876746618124,356.0,1.2299999999999998,0.7356631505938258,5,5,20230830_030540-030740_R0279.mseed;20230830_030540-030740_R265F.mseed;20230830_030540-030740_R6940.mseed;20230830_030540-030740_R7D17.mseed;20230830_030540-030740_RE5DE.mseed
20230831_060010-060210,Multiphase,1.1284940925173101e-10,4.7938798700422364e-06,0.013594506541014042,11.419082267797004,4.79387987189387e-06,3.288393308893694e-05,3.0767046595686643e-07,298.2,0.933255562036497,1.1915207503059422,6.120926564376222,6.0,0.7499999999999999,0.5620626563308838,5,5,20230831_060010-060210_R0279.mseed;20230831_060010-060210_R265F.mseed;20230831_060010-060210_R6940.mseed;20230831_060010-060210_R7D17.mseed;20230831_060010-060210_RE5DE.mseed
20230821_150400-150600,Multiphase,-3.5057439470495855e-11,3.2238614779793273e-06,-0.014502860746333116,5.835749338813769,3.2238614782655905e-06,1.859393305731888e-05,1.2679802098563445e-07,280.0,0.9032580618281809,1.1327634097717314,6.059801534681742,358.0,1.4899999999999998,0.5645667549371,5,5,20230821_150400-150600_R0279.mseed;20230821_150400-150600_R265F.mseed;20230821_150400-150600_R6940.mseed;20230821_150400-150600_R7D17.mseed;20230821_150400-150600_RE5DE.mseed
20230906_014600-014800,Multiphase,5.594788778033404e-11,5.612867952777589e-06,0.0027647261117881225,7.135237527918787,5.6128679541438165e-06,3.8247188805611826e-05,3.785840772196868e-07,299.4,0.9899175068744273,1.2045732797119804,6.254774378768711,2.0,1.4099999999999997,0.734286137166424,5,5,20230906_014600-014800_R0279.mseed;20230906_014600-014800_R265F.mseed;20230906_014600-014800_R6940.mseed;20230906_014600-014800_R7D17.mseed;20230906_014600-014800_RE5DE.mseed
20230823_170440-170640,Multiphase,1.2128879971026105e-11,3.432993293639274e-06,0.03885649240151754,2.1529089682976936,3.4329932941064907e-06,1.628021728178355e-05,1.4184728952262018e-07,277.6,0.8949254228814265,1.1511677676384822,6.066841754727197,0.0,1.2099999999999997,0.6755515595868982,5,5,20230823_170440-170640_R0279.mseed;20230823_170440-170640_R265F.mseed;20230823_170440-170640_R6940.mseed;20230823_170440-170640_R7D17.mseed;20230823_170440-170640_RE5DE.mseed
20230831_041000-041200,Multiphase,-9.855321021073285e-11,1.0449926387124991e-05,0.007823743264436843,9.581494753822792,1.0449926387605018e-05,7.235745505362377e-05,1.3119269520604788e-06,297.2,0.9299225064577952,1.1487376878183517,6.118879221870339,2.0,1.3699999999999999,0.8053288320274491,5,5,20230831_041000-041200_R0279.mseed;20230831_041000-041200_R265F.mseed;20230831_041000-041200_R6940.mseed;20230831_041000-041200_R7D17.mseed;20230831_041000-041200_RE5DE.mseed
20230909_001930-002130,Multiphase,-1.5353269707565074e-10,4.892762372462115e-06,-0.01634531481765322,1.6142408572738618,4.892762374940051e-06,2.183473356386765e-05,2.924289441642723e-07,268.4,0.8982584784601283,1.0504135502855014,5.744096869337496,118.0,0.7899999999999999,0.6649874379764685,5,5,20230909_001930-002130_R0279.mseed;20230909_001930-002130_R265F.mseed;20230909_001930-002130_R6940.mseed;20230909_001930-002130_R7D17.mseed;20230909_001930-002130_RE5DE.mseed
20230909_012235-012435,Multiphase,-2.383773688600192e-11,1.0489856098884035e-05,-0.0011547093146615697,9.043879903752877,1.0489856098930267e-05,6.771075606084628e-05,1.3319719357370922e-06,306.8,1.226564452962253,1.2677720691817669,5.994571833326537,356.0,1.2299999999999998,0.7457251893174144,5,5,20230909_012235-012435_R0279.mseed;20230909_012235-012435_R265F.mseed;20230909_012235-012435_R6940.mseed;20230909_012235-012435_R7D17.mseed;20230909_012235-012435_RE5DE.mseed
20230911_140240-140440,Multiphase,-2.5459179992656074e-11,5.9225830101769755e-06,0.016337600310029406,7.300734280382038,5.922583010258062e-06,3.856633415664452e-05,4.223706256780972e-07,297.4,1.0299141738188484,1.195810786910273,6.18402315019551,0.0,1.4099999999999997,0.7412910229065802,5,5,20230911_140240-140440_R0279.mseed;20230911_140240-140440_R265F.mseed;20230911_140240-140440_R6940.mseed;20230911_140240-140440_R7D17.mseed;20230911_140240-140440_RE5DE.mseed
20230903_045500-045700,Multiphase,-9.296161807143152e-11,9.251926269890791e-05,-0.004520932871942262,10.272132707226076,9.251926269896845e-05,0.0005775297223870833,0.00010309830232990022,279.2,0.9782518123489709,1.0649389282161956,5.459778895060994,0.0,1.3499999999999999,0.8362326010310184,5,5,20230903_045500-045700_R0279.mseed;20230903_045500-045700_R265F.mseed;20230903_045500-045700_R6940.mseed;20230903_045500-045700_R7D17.mseed;20230903_045500-045700_RE5DE.mseed
20230902_183700-183900,Multiphase,-7.866295868652685e-12,1.0740552670454522e-05,0.010744394332870113,9.24561161602642,1.0740552670669985e-05,6.829310867563895e-05,1.3914884259020725e-06,285.6,1.226564452962253,1.2506220951212421,5.954548098420604,354.0,1.2299999999999998,0.7670669892377612,5,5,20230902_183700-183900_R0279.mseed;20230902_183700-183900_R265F.mseed;20230902_183700-183900_R6940.mseed;20230902_183700-183900_R7D17.mseed;20230902_183700-183900_RE5DE.mseed
20230830_160200-160400,Multiphase,-4.106078590762563e-11,3.8065688351988904e-06,-0.008146428538120906,2.6880408150638324,3.8065688361996454e-06,1.7678915692474573e-05,1.75050613634687e-07,278.8,0.9849179235063744,1.157817697301754,5.9344942353843555,352.0,1.1899999999999997,0.5810745782538154,5,5,20230830_160200-160400_R0279.mseed;20230830_160200-160400_R265F.mseed;20230830_160200-160400_R6940.mseed;20230830_160200-160400_R7D17.mseed;20230830_160200-160400_RE5DE.mseed
20230822_204900-205100,Multiphase,1.8351150369842635e-11,5.557145133744016e-06,-0.012491039029317134,6.785007054905192,5.557145133816672e-06,3.123695497497788e-05,3.718171490672059e-07,276.2,0.963253062244813,1.0967097502815288,5.825261757736651,358.0,1.3499999999999999,0.8101487569332491,5,5,20230822_204900-205100_R0279.mseed;20230822_204900-205100_R265F.mseed;20230822_204900-205100_R6940.mseed;20230822_204900-205100_R7D17.mseed;20230822_204900-205100_RE5DE.mseed
20230825_215820-220020,Multiphase,5.391224479738635e-12,2.8629128777206744e-06,-0.00013711747937229565,1.2072171921754462,2.862912877750723e-06,1.2409108589619763e-05,9.877961480149515e-08,284.6,0.9865844512957253,1.1436588497916922,6.068512311770264,352.0,1.17,0.698279698206656,5,5,20230825_215820-220020_R0279.mseed;20230825_215820-220020_R265F.mseed;20230825_215820-220020_R6940.mseed;20230825_215820-220020_R7D17.mseed;20230825_215820-220020_RE5DE.mseed
20230906_083130-083330,Multiphase,1.4154220898076845e-12,9.210948840378846e-06,0.016231521013411826,9.926798197509218,9.21094884044218e-06,6.463379252328647e-05,1.0199467845392109e-06,296.0,0.9515873677193568,1.161429392675967,6.166113577989103,0.0,1.4099999999999997,0.7940412460673142,5,5,20230906_083130-083330_R0279.mseed;20230906_083130-083330_R265F.mseed;20230906_083130-083330_R6940.mseed;20230906_083130-083330_R7D17.mseed;20230906_083130-083330_RE5DE.mseed
20230825_162400-162600,Multiphase,6.985805547589209e-11,2.5386017138113723e-06,0.01698108377053554,1.1015556403426143,2.5386017154636634e-06,1.1062729256089477e-05,7.751799046088034e-08,286.0,0.9165902841429882,1.1451838923979287,6.063196412481543,358.0,1.2899999999999998,0.5213447306841511,5,5,20230825_162400-162600_R0279.mseed;20230825_162400-162600_R265F.mseed;20230825_162400-162600_R6940.mseed;20230825_162400-162600_R7D17.mseed;20230825_162400-162600_RE5DE.mseed
20230901_034640-034840,Multiphase,2.7080432826380873e-11,3.341954131431549e-06,-0.002746695208479877,1.1966922933233328,3.3419541316835404e-06,1.4687533770156911e-05,1.3460238800518906e-07,305.8,1.153237230230814,1.2260569959879628,6.265776096709731,354.0,0.9899999999999999,0.564543437699794,5,5,20230901_034640-034840_R0279.mseed;20230901_034640-034840_R265F.mseed;20230901_034640-034840_R6940.mseed;20230901_034640-034840_R7D17.mseed;20230901_034640-034840_RE5DE.mseed
20230910_130540-130740,Multiphase,3.990123403374976e-11,2.7788459424498e-06,0.014698027353288368,2.2501915185843226,2.7788459432578435e-06,1.3117949665599943e-05,9.311362807743748e-08,289.8,0.9349220898258478,1.1851960884142394,6.1500299647406,358.0,1.3699999999999999,0.5887524267107763,5,5,20230910_130540-130740_R0279.mseed;20230910_130540-130740_R265F.mseed;20230910_130540-130740_R6940.mseed;20230910_130540-130740_R7D17.mseed;20230910_130540-130740_RE5DE.mseed
20230823_171800-172000,Multiphase,1.2782512245732523e-11,4.982673406300727e-06,0.017565172572418995,5.338370211239375,4.982673406462709e-06,2.8289054814705732e-05,2.993196678748584e-07,286.2,0.9349220898258478,1.216983597301318,6.2377690179617975,354.0,1.2099999999999997,0.6932917806144904,5,5,20230823_171800-172000_R0279.mseed;20230823_171800-172000_R265F.mseed;20230823_171800-172000_R6940.mseed;20230823_171800-172000_R7D17.mseed;20230823_171800-172000_RE5DE.mseed
