Event,Label,Mean,Std,Skewness,Kurtosis,RMS,Peak,Energy,Zero_Cross,Dominant_Freq,SpectralCentroid,SpectralEntropy,Back_Azimuth,Slowness,Beam_Power
20230910_123610-123810,Multiphase,0.002393042728695226,1.629187376470938,-0.011329417677860217,1.90070452093088,1.629189133988365,5.648232611868258,7962.771702917277,64,1.0333333333333332,1.0291347252855276,2.8703953637590045,356.0,1.3299999999999998,0.7915844691788348
20230903_045040-045240,Multiphase,0.0012177478055890585,1.1592957374010668,-0.011331760109313686,2.488948159229998,1.1592963769744133,3.9660120070883664,4031.904268998004,68,1.0,1.117890106882836,4.108455859026781,2.0,1.3299999999999998,0.6704906760674533
20230903_010240-010440,Multiphase,-0.005414873693017928,1.1957349913636335,-0.03374573871821972,9.679107593491219,1.195747251900877,6.6884560755616205,4289.434471285498,68,0.8333333333333334,1.05999077421786,4.397337726077921,32.0,1.2299999999999998,0.7352775352127771
20230824_190420-190620,Multiphase,-0.0015977309572730942,1.09725539868546,-0.03182344970443615,0.9214016025377525,1.0972565619255141,3.5192859388852327,3611.9158880657997,74,1.0333333333333332,1.0621430744066682,3.577144607872273,352.0,1.13,0.5725360758914966
20230830_030540-030740,Multiphase,-0.0027450733637519706,1.5632411035186005,0.023234933254170444,1.208067939668986,1.5632435137104597,5.27435728467274,7331.190849473473,62,1.0,1.0262419725992196,3.3896153005193774,356.0,1.2699999999999998,0.7631779484362624
20230831_060010-060210,Multiphase,-0.002207785366652298,1.1217227332509678,-0.010832998958990269,1.9839226127966691,1.1217249059409562,4.559718525759725,3774.800293824741,64,0.9,1.0267853948343093,3.67969171370926,6.0,0.69,0.5879361150188309
20230821_150400-150600,Multiphase,0.005947630772417055,1.0218277915426746,0.012226384695457558,2.6819140888968667,1.0218451007274951,3.868737566343641,3132.5022296423535,68,0.8666666666666667,0.9941080690416922,3.6182421952683117,356.0,1.4899999999999998,0.5932276676912034
20230906_014600-014800,Multiphase,0.0007403821106087586,1.3673678923045272,0.000448937634759831,4.971812822675391,1.3673680927500813,6.310402047291776,5609.086503212984,70,0.9333333333333333,1.0444233110259769,3.993621117960937,0.0,1.4299999999999997,0.7646275139513372
20230823_170440-170640,Multiphase,-0.00538406026849542,1.1624502181862686,-0.061278102357080914,1.49768244150117,1.1624626866554808,4.02330932338001,4053.958493598835,74,0.8666666666666667,1.0546630035264366,3.9969576629908197,0.0,1.17,0.6574270178302378
20230831_041000-041200,Multiphase,0.005285421063688256,1.5818182029869048,-0.004941539287855725,3.8701614338432,1.581827033204497,6.759715808450932,7506.530288929624,64,0.9333333333333333,1.0084319026111455,3.7360048480563095,0.0,1.3899999999999997,0.8368206828591348
20230909_001930-002130,Multiphase,0.004582108229594842,1.2691564420002563,0.027774160526241206,0.31203394707459386,1.2691647134972583,3.752380504430339,4832.337209959733,58,0.8333333333333334,0.8876945541207587,2.6333666806909535,120.0,0.9299999999999998,0.7424826587324451
20230909_012235-012435,Multiphase,0.0009168556906035168,1.5431874016598053,-0.008948543418208953,1.9387157451250987,1.5431876740260395,5.981431984229857,7144.284591797694,72,1.2333333333333334,1.186604413868199,3.8727903701082265,358.0,1.2099999999999997,0.7623266581250102
20230911_140240-140440,Multiphase,0.0029511196182583034,1.4761626268756571,-0.016739603557804118,2.8959646197600275,1.4761655767871849,6.276054667226608,6537.194430274327,66,0.9333333333333333,1.0522716731004602,3.987124462727211,0.0,1.4299999999999997,0.7714754979265345
20230903_045500-045700,Multiphase,0.004088421171615196,1.7049497079612448,0.0013506891733704991,2.2731695689912144,1.704954609913358,5.689333151151014,8720.610665594431,66,0.9333333333333333,0.991233151293147,3.057345592120628,0.0,1.3499999999999999,0.8585971105224225
20230902_183700-183900,Multiphase,0.0001483724232886819,1.6049086862932345,-0.02077550250221841,1.3415457296272422,1.6049086931516854,5.627627324884051,7727.195740061552,74,1.2333333333333334,1.1749933601225908,3.910338571155266,356.0,1.2099999999999997,0.7835540854756586
20230830_160200-160400,Multiphase,0.005820357155343657,1.187874118211454,0.05022077454699359,0.41404133725260195,1.1878883774471636,3.725583642965968,4233.236391822165,64,0.9,1.0375407332198536,3.99835002364447,356.0,1.3099999999999998,0.6211481271959507
20230822_204900-205100,Multiphase,-0.0019841243313347976,1.5651571785297478,0.01994429735809281,1.613951347320567,1.565158436150335,4.992361987650761,7349.162790757688,66,0.9333333333333333,1.0117800827238526,3.461422804523156,358.0,1.3899999999999997,0.8227148500170067
20230825_215820-220020,Multiphase,0.003465842795818934,1.0681470691529056,0.02605541856859124,0.6893762791392004,1.0681526919903481,3.4550657075297293,3422.850520218683,68,1.0,1.0515016134501003,3.533060776255729,352.0,1.2099999999999997,0.6916387333510011
20230906_083130-083330,Multiphase,0.008341330895713343,1.5732204575553264,-0.029448428738561117,4.021275212009472,1.5732425705757207,6.911824174425869,7425.276557615105,66,0.9333333333333333,1.0226600022269121,3.8904291846570724,0.0,1.4299999999999997,0.8285031513252454
20230825_162400-162600,Multiphase,0.00341055387599647,0.9805911117039564,-0.07204855930346332,3.6068815246746206,0.9805970427400557,4.045713149818303,2884.7116806916274,68,0.9,0.9927377933881436,3.826149418719096,356.0,1.1899999999999997,0.5442115273586462
20230901_034640-034840,Multiphase,0.005015113857728008,0.9725998908330464,0.05051966994397627,2.2318898586866354,0.9726128207130829,3.9479045038233735,2837.9270970463785,68,0.9666666666666667,1.0165569974514617,4.057814741752613,352.0,0.9499999999999998,0.6395893846654368
20230910_130540-130740,Multiphase,0.011333471894082849,1.1635611709354388,-0.08489765169237734,2.6869196398494646,1.1636163655147789,4.266208890092462,4062.0091382814708,60,0.8666666666666667,1.0041482709359375,3.9246958688214155,0.0,1.4099999999999997,0.6444298787328436
20230823_171800-172000,Multiphase,-0.0008953596211285463,1.3696096879722477,-0.045573916314450756,0.9514214793265978,1.3696099806354687,4.2676724291166055,5627.4944971688665,86,0.9666666666666667,1.1483259095015974,4.168197957930698,352.0,1.17,0.6890185098526518
